uid,item_class,name,description,id,leaderboardid,startdate,activeduration,inactiveDuration,invalidduration,numresets,ChallengeName,ChallengeDescription,ScriptType,ScriptParameters,Lifetime,BronzeGoal,SilverGoal,GoldGoal,LeaderboardType,FacebookURL,GoalNoun,IsTime,BronzeReward,SilverReward,GoldReward,FriendsBeatenReward
challenge0,challenges,Challenge Top Dog,,0,26,1343779200,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_TOP_DOG,S_GMG_CHALLENGE_DESC_TOP_DOG,MostXPSpecOpsChallenge,1,1,5000,10000,20000,MaxOnTop,,S_GMG_NOUN_XP,FALSE,5,10,30,6
challenge1,challenges,Challenge Dead Eye,,1,27,1343779800,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_DEAD_EYE,S_GMG_CHALLENGE_DESC_DEAD_EYE,MostHeadshotsTimedChallenge,,1800,10,30,50,MaxOnTop,,S_GMG_NOUN_HEADSHOTS,FALSE,5,10,30,6
challenge2,challenges,Challenge Safety Off,,2,28,1343780400,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_SAFETY_OFF,S_GMG_CHALLENGE_DESC_SAFETY_OFF,SpecOpsKillsRaceChallenge,0,20,600,300,180,MinOnTop,,S_GMG_NOUN_KILLS,TRUE,5,10,30,6
challenge3,challenges,Challenge Frag Master,,3,29,1343781000,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_FRAG_MASTER,S_GMG_CHALLENGE_DESC_FRAG_MASTER,MostGrenadeKillsOneRunChallenge,1,1,10,20,30,MaxOnTop,,S_GMG_NOUN_KILLS,FALSE,5,10,30,6
challenge4,challenges,Challenge Explosive Team,,4,30,1343781600,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_EXPLOSIVE_TEAM,S_GMG_CHALLENGE_DESC_EXPLOSIVE_TEAM,KillEnemiesWithClaymoreTimedChallenge,0,1800,10,20,30,MaxOnTop,,S_GMG_NOUN_KILLS, FALSE,5,10,30,6
challenge5,challenges,Challenge Keep Em Coming,,5,31,1343782200,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_KEEP_EM_COMING,S_GMG_CHALLENGE_DESC_KEEP_EM_COMING,CompleteWavesRaceChallenge,0,5,600,420,300,MinOnTop,,S_GMG_NOUN_WAVES, TRUE,5,10,30,6
challenge6,challenges,Challenge Street Sweeper,,6,32,1343782800,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_STREET_SWEEPER,S_GMG_CHALLENGE_DESC_STREET_SWEEPER,ShotgunKillsTimedChallenge,1,1800,20,40,60,MaxOnTop,,S_GMG_NOUN_KILLS, FALSE,5,10,30,6
challenge7,challenges,Challenge Ambush,,7,33,1343783400,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_AMBUSH,S_GMG_CHALLENGE_DESC_AMBUSH,MostClaymoreKillsChallenge,1,1,5,10,15,MaxOnTop,,S_GMG_NOUN_KILLS,FALSE,5,10,30,6
challenge8,challenges,Challenge Ghost ,,8,34,1343784000,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_GHOST,S_GMG_CHALLENGE_DESC_GHOST,MostStealthKillsChallenge,1,1,10,20,30,MaxOnTop,,S_GMG_NOUN_KILLS,FALSE,5,10,30,6
challenge9,challenges,Challenge Machine Gun Master,,9,35,1343784600,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_MACHINE_GUN_MASTER,S_GMG_CHALLENGE_DESC_MACHINE_GUN_MASTER,LMGKillsSpecOpsRaceChallenge,0,50,2400,1800,1200,MinOnTop,,S_GMG_NOUN_KILLS, TRUE,5,10,30,6
challenge10,challenges,Challenge Whites Of Their Eyes,,10,36,1343785200,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_WHITES_OF_THEIR_EYES,S_GMG_CHALLENGE_DESC_WHITES_OF_THEIR_EYES,MostSniperKillsTimedChallenge,,1800,20,40,60,MaxOnTop,,S_GMG_NOUN_KILLS, FALSE,5,10,30,6
challenge11,challenges,Challenge Hot Streak,,11,37,1343785800,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_HOT_STREAK,S_GMG_CHALLENGE_DESC_HOT_STREAK,MostMultiKillChallenge,1,1,5,10,15,MaxOnTop,,S_GMG_NOUN_MULTI_KILLS,FALSE,5,10,30,6
